코드,기준코드,기준,구코드,신코드,변경일,구_시도명,구_시군구명,신_시도명,신_시군구명,읍면동명
4119010100,4119210100,신코드,4119010100,4119210100,2023-12-29,경기도,부천시,경기도,부천시원미구,원미동
4119010200,4119210200,신코드,4119010200,4119210200,2023-12-29,경기도,부천시,경기도,부천시원미구,심곡동
4119010300,4119210300,신코드,4119010300,4119210300,2023-12-29,경기도,부천시,경기도,부천시원미구,춘의동
4119010400,4119210400,신코드,4119010400,4119210400,2023-12-29,경기도,부천시,경기도,부천시원미구,도당동
4119010500,4119210500,신코드,4119010500,4119210500,2023-12-29,경기도,부천시,경기도,부천시원미구,약대동
4119010600,4119210600,신코드,4119010600,4119210600,2023-12-29,경기도,부천시,경기도,부천시원미구,소사동
4119010700,4119210700,신코드,4119010700,4119210700,2023-12-29,경기도,부천시,경기도,부천시원미구,역곡동
4119010800,4119210800,신코드,4119010800,4119210800,2023-12-29,경기도,부천시,경기도,부천시원미구,중동
4119010900,4119210900,신코드,4119010900,4119210900,2023-12-29,경기도,부천시,경기도,부천시원미구,상동
4119011000,4119410100,신코드,4119011000,4119410100,2023-12-29,경기도,부천시,경기도,부천시소사구,소사본동
4119011100,4119410200,신코드,4119011100,4119410200,2023-12-29,경기도,부천시,경기도,부천시소사구,심곡본동
4119011200,4119410300,신코드,4119011200,4119410300,2023-12-29,경기도,부천시,경기도,부천시소사구,범박동
4119011300,4119410400,신코드,4119011300,4119410400,2023-12-29,경기도,부천시,경기도,부천시소사구,괴안동
4119011400,4119410500,신코드,4119011400,4119410500,2023-12-29,경기도,부천시,경기도,부천시소사구,송내동
4119011500,4119410600,신코드,4119011500,4119410600,2023-12-29,경기도,부천시,경기도,부천시소사구,옥길동
4119011600,4119410700,신코드,4119011600,4119410700,2023-12-29,경기도,부천시,경기도,부천시소사구,계수동
4119011700,4119610100,신코드,4119011700,4119610100,2023-12-29,경기도,부천시,경기도,부천시오정구,오정동
4119011800,4119610200,신코드,4119011800,4119610200,2023-12-29,경기도,부천시,경기도,부천시오정구,여월동
4119011900,4119610300,신코드,4119011900,4119610300,2023-12-29,경기도,부천시,경기도,부천시오정구,작동
4119012000,4119610400,신코드,4119012000,4119610400,2023-12-29,경기도,부천시,경기도,부천시오정구,원종동
4119012100,4119610500,신코드,4119012100,4119610500,2023-12-29,경기도,부천시,경기도,부천시오정구,고강동
4119012200,4119610600,신코드,4119012200,4119610600,2023-12-29,경기도,부천시,경기도,부천시오정구,대장동
4119012300,4119610700,신코드,4119012300,4119610700,2023-12-29,경기도,부천시,경기도,부천시오정구,삼정동
4119012400,4119610800,신코드,4119012400,4119610800,2023-12-29,경기도,부천시,경기도,부천시오정구,내동
4159510100,4159011600,구코드,4159011600,4159510100,2026-02-01,경기도,화성시,경기도,화성시병점구,진안동
4159510200,4159011700,구코드,4159011700,4159510200,2026-02-01,경기도,화성시,경기도,화성시병점구,병점동
4159710100,4159011800,구코드,4159011800,4159710100,2026-02-01,경기도,화성시,경기도,화성시동탄구,능동
4159510400,4159011900,구코드,4159011900,4159510400,2026-02-01,경기도,화성시,경기도,화성시병점구,기산동
4159510500,4159012000,구코드,4159012000,4159510500,2026-02-01,경기도,화성시,경기도,화성시병점구,반월동
4159510600,4159012100,구코드,4159012100,4159510600,2026-02-01,경기도,화성시,경기도,화성시병점구,반정동
4159510700,4159012200,구코드,4159012200,4159510700,2026-02-01,경기도,화성시,경기도,화성시병점구,황계동
4159310100,4159012300,구코드,4159012300,4159310100,2026-02-01,경기도,화성시,경기도,화성시효행구,배양동
4159310200,4159012400,구코드,4159012400,4159310200,2026-02-01,경기도,화성시,경기도,화성시효행구,기안동
4159510800,4159012500,구코드,4159012500,4159510800,2026-02-01,경기도,화성시,경기도,화성시병점구,송산동
4159510900,4159012600,구코드,4159012600,4159510900,2026-02-01,경기도,화성시,경기도,화성시병점구,안녕동
4159710200,4159012700,구코드,4159012700,4159710200,2026-02-01,경기도,화성시,경기도,화성시동탄구,반송동
4159710300,4159012800,구코드,4159012800,4159710300,2026-02-01,경기도,화성시,경기도,화성시동탄구,석우동
4159710500,4159013000,구코드,4159013000,4159710500,2026-02-01,경기도,화성시,경기도,화성시동탄구,청계동
4159710600,4159013100,구코드,4159013100,4159710600,2026-02-01,경기도,화성시,경기도,화성시동탄구,영천동
4159710700,4159013200,구코드,4159013200,4159710700,2026-02-01,경기도,화성시,경기도,화성시동탄구,중동
4159710800,4159013300,구코드,4159013300,4159710800,2026-02-01,경기도,화성시,경기도,화성시동탄구,신동
4159710900,4159013400,구코드,4159013400,4159710900,2026-02-01,경기도,화성시,경기도,화성시동탄구,목동
4159711000,4159013500,구코드,4159013500,4159711000,2026-02-01,경기도,화성시,경기도,화성시동탄구,산척동
4159711100,4159013600,구코드,4159013600,4159711100,2026-02-01,경기도,화성시,경기도,화성시동탄구,장지동
4159711200,4159013700,구코드,4159013700,4159711200,2026-02-01,경기도,화성시,경기도,화성시동탄구,송동
4159711300,4159013800,구코드,4159013800,4159711300,2026-02-01,경기도,화성시,경기도,화성시동탄구,방교동
4159711400,4159013900,구코드,4159013900,4159711400,2026-02-01,경기도,화성시,경기도,화성시동탄구,금곡동
4159325000,4159025300,구코드,4159025300,4159325000,2026-02-01,경기도,화성시,경기도,화성시효행구,봉담읍
4159125000,4159025600,구코드,4159025600,4159125000,2026-02-01,경기도,화성시,경기도,화성시만세구,우정읍
4159125300,4159025900,구코드,4159025900,4159125300,2026-02-01,경기도,화성시,경기도,화성시만세구,향남읍
4159125600,4159026200,구코드,4159026200,4159125600,2026-02-01,경기도,화성시,경기도,화성시만세구,남양읍
4159331000,4159031000,구코드,4159031000,4159331000,2026-02-01,경기도,화성시,경기도,화성시효행구,매송면
4159332000,4159032000,구코드,4159032000,4159332000,2026-02-01,경기도,화성시,경기도,화성시효행구,비봉면
4159131000,4159033000,구코드,4159033000,4159131000,2026-02-01,경기도,화성시,경기도,화성시만세구,마도면
4159132000,4159034000,구코드,4159034000,4159132000,2026-02-01,경기도,화성시,경기도,화성시만세구,송산면
4159133000,4159035000,구코드,4159035000,4159133000,2026-02-01,경기도,화성시,경기도,화성시만세구,서신면
4159134000,4159036000,구코드,4159036000,4159134000,2026-02-01,경기도,화성시,경기도,화성시만세구,팔탄면
4159135000,4159037000,구코드,4159037000,4159135000,2026-02-01,경기도,화성시,경기도,화성시만세구,장안면
4159136000,4159040000,구코드,4159040000,4159136000,2026-02-01,경기도,화성시,경기도,화성시만세구,양감면
4159333000,4159041000,구코드,4159041000,4159333000,2026-02-01,경기도,화성시,경기도,화성시효행구,정남면
2812510800,2811010100,구코드,2811010100,2812510800,2026-06-30,인천광역시,중구,인천광역시,제물포구,중앙동1가
2812510900,2811010200,구코드,2811010200,2812510900,2026-06-30,인천광역시,중구,인천광역시,제물포구,중앙동2가
2812511000,2811010300,구코드,2811010300,2812511000,2026-06-30,인천광역시,중구,인천광역시,제물포구,중앙동3가
2812511100,2811010400,구코드,2811010400,2812511100,2026-06-30,인천광역시,중구,인천광역시,제물포구,중앙동4가
2812511200,2811010500,구코드,2811010500,2812511200,2026-06-30,인천광역시,중구,인천광역시,제물포구,해안동1가
2812511300,2811010600,구코드,2811010600,2812511300,2026-06-30,인천광역시,중구,인천광역시,제물포구,해안동2가
2812511400,2811010700,구코드,2811010700,2812511400,2026-06-30,인천광역시,중구,인천광역시,제물포구,해안동3가
2812511500,2811010800,구코드,2811010800,2812511500,2026-06-30,인천광역시,중구,인천광역시,제물포구,해안동4가
2812511600,2811010900,구코드,2811010900,2812511600,2026-06-30,인천광역시,중구,인천광역시,제물포구,관동1가
2812511700,2811011000,구코드,2811011000,2812511700,2026-06-30,인천광역시,중구,인천광역시,제물포구,관동2가
2812511800,2811011100,구코드,2811011100,2812511800,2026-06-30,인천광역시,중구,인천광역시,제물포구,관동3가
2812511900,2811011200,구코드,2811011200,2812511900,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동1가
2812512000,2811011300,구코드,2811011300,2812512000,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동2가
2812512100,2811011400,구코드,2811011400,2812512100,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동3가
2812512200,2811011500,구코드,2811011500,2812512200,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동4가
2812512300,2811011600,구코드,2811011600,2812512300,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동5가
2812512400,2811011700,구코드,2811011700,2812512400,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동6가
2812512500,2811011800,구코드,2811011800,2812512500,2026-06-30,인천광역시,중구,인천광역시,제물포구,항동7가
2812512600,2811011900,구코드,2811011900,2812512600,2026-06-30,인천광역시,중구,인천광역시,제물포구,송학동1가
2812512700,2811012000,구코드,2811012000,2812512700,2026-06-30,인천광역시,중구,인천광역시,제물포구,송학동2가
2812512800,2811012100,구코드,2811012100,2812512800,2026-06-30,인천광역시,중구,인천광역시,제물포구,송학동3가
2812512900,2811012200,구코드,2811012200,2812512900,2026-06-30,인천광역시,중구,인천광역시,제물포구,사동
2812513000,2811012300,구코드,2811012300,2812513000,2026-06-30,인천광역시,중구,인천광역시,제물포구,신생동
2812513100,2811012400,구코드,2811012400,2812513100,2026-06-30,인천광역시,중구,인천광역시,제물포구,신포동
2812513200,2811012500,구코드,2811012500,2812513200,2026-06-30,인천광역시,중구,인천광역시,제물포구,답동
2812513300,2811012600,구코드,2811012600,2812513300,2026-06-30,인천광역시,중구,인천광역시,제물포구,신흥동1가
2812513400,2811012700,구코드,2811012700,2812513400,2026-06-30,인천광역시,중구,인천광역시,제물포구,신흥동2가
2812513500,2811012800,구코드,2811012800,2812513500,2026-06-30,인천광역시,중구,인천광역시,제물포구,신흥동3가
2812513600,2811012900,구코드,2811012900,2812513600,2026-06-30,인천광역시,중구,인천광역시,제물포구,선화동
2812513700,2811013000,구코드,2811013000,2812513700,2026-06-30,인천광역시,중구,인천광역시,제물포구,유동
2812513800,2811013100,구코드,2811013100,2812513800,2026-06-30,인천광역시,중구,인천광역시,제물포구,율목동
2812513900,2811013200,구코드,2811013200,2812513900,2026-06-30,인천광역시,중구,인천광역시,제물포구,도원동
2812514000,2811013300,구코드,2811013300,2812514000,2026-06-30,인천광역시,중구,인천광역시,제물포구,내동
2812514100,2811013400,구코드,2811013400,2812514100,2026-06-30,인천광역시,중구,인천광역시,제물포구,경동
2812514200,2811013500,구코드,2811013500,2812514200,2026-06-30,인천광역시,중구,인천광역시,제물포구,용동
2812514300,2811013600,구코드,2811013600,2812514300,2026-06-30,인천광역시,중구,인천광역시,제물포구,인현동
2812514400,2811013700,구코드,2811013700,2812514400,2026-06-30,인천광역시,중구,인천광역시,제물포구,전동
2812514500,2811013800,구코드,2811013800,2812514500,2026-06-30,인천광역시,중구,인천광역시,제물포구,북성동1가
2812514600,2811013900,구코드,2811013900,2812514600,2026-06-30,인천광역시,중구,인천광역시,제물포구,북성동2가
2812514700,2811014000,구코드,2811014000,2812514700,2026-06-30,인천광역시,중구,인천광역시,제물포구,북성동3가
2812514800,2811014100,구코드,2811014100,2812514800,2026-06-30,인천광역시,중구,인천광역시,제물포구,선린동
2812514900,2811014200,구코드,2811014200,2812514900,2026-06-30,인천광역시,중구,인천광역시,제물포구,송월동1가
