구분,법정동코드,이름_또는_경계코드
중심점 없음(기준코드),4146126200,경기도 용인시처인구 양지읍
중심점 없음(기준코드),4159110100,경기도 화성시만세구 새솔동
중심점 없음(기준코드),4159510300,경기도 화성시병점구 능동
중심점 없음(기준코드),4159711500,경기도 화성시동탄구 여울동
중심점 없음(기준코드),4377025600,충청북도 음성군 대소읍
중심점 없음(기준코드),4784035500,경상북도 성주군 금수강산면
중심점 없음(기준코드),4790025300,경상북도 예천군 호명읍
마스터에 없는 중심점 코드,4146136000,
마스터에 없는 중심점 코드,4159012900,
마스터에 없는 중심점 코드,4377034000,
마스터에 없는 중심점 코드,4784035000,
마스터에 없는 중심점 코드,4790036000,
코드대응 실패,4146136000,양지면
코드대응 실패,4159012900,오산동
코드대응 실패,4377034000,대소면
코드대응 실패,4784035000,금수면
코드대응 실패,4790036000,호명면
