법정동코드,위도,경도,산출방식,코드보정
1111010100,37.589205,126.969324,면적중심,
1111010200,37.584506,126.967942,면적중심,
1111010300,37.584698,126.972706,면적중심,
1111010400,37.582667,126.971953,면적중심,
1111010500,37.580561,126.972474,면적중심,
1111010600,37.578077,126.97287,면적중심,
1111010700,37.575321,126.973791,면적중심,
1111010800,37.580161,126.970219,면적중심,
1111010900,37.580399,126.962737,면적중심,
1111011000,37.57929,126.968284,면적중심,
1111011100,37.583539,126.96341,면적중심,
1111011200,37.577594,126.970873,면적중심,
1111011300,37.577299,126.968145,면적중심,
1111011400,37.575314,126.971742,면적중심,
1111011500,37.575412,126.965957,면적중심,
1111011600,37.573123,126.974759,면적중심,
1111011700,37.571588,126.974014,면적중심,
1111011800,37.573325,126.971972,면적중심,
1111011900,37.580304,126.976789,면적중심,
1111012000,37.57019,126.973922,면적중심,
1111012100,37.57087,126.969225,면적중심,
1111012200,37.571451,126.980179,면적중심,
1111012300,37.569522,126.980421,면적중심,
1111012400,37.573698,126.980645,면적중심,
1111012500,37.575313,126.979678,면적중심,
1111012600,37.570433,126.979715,면적중심,
1111012700,37.571307,126.983178,면적중심,
1111012800,37.574157,126.984682,면적중심,
1111012900,37.573523,126.983013,면적중심,
1111013000,37.581715,126.99255,면적중심,
1111013100,37.576504,126.991356,내부점보정,
1111013200,37.576389,126.988239,면적중심,
1111013300,37.574349,126.989706,면적중심,
1111013400,37.575202,126.986421,면적중심,
1111013500,37.569126,126.986004,면적중심,
1111013600,37.571716,126.986074,면적중심,
1111013700,37.572573,126.988623,면적중심,
1111013800,37.570458,126.986935,면적중심,
1111013900,37.582798,126.980726,면적중심,
1111014000,37.590755,126.98101,면적중심,
1111014100,37.5774,126.98363,면적중심,
1111014200,37.579623,126.980934,면적중심,
1111014300,37.580692,126.982731,면적중심,
1111014400,37.577262,126.9804,면적중심,
1111014500,37.576777,126.981873,면적중심,
1111014600,37.582683,126.984841,면적중심,
1111014700,37.578329,126.985284,면적중심,
1111014800,37.582352,126.98693,면적중심,
1111014900,37.583924,126.988263,면적중심,
1111015000,37.574384,126.994196,면적중심,
1111015100,37.572436,126.991743,면적중심,
1111015200,37.572195,126.992998,면적중심,
1111015300,37.571982,126.990742,면적중심,
1111015400,37.569238,126.994044,면적중심,
1111015500,37.569076,126.990475,면적중심,
1111015600,37.570409,126.992353,면적중심,
1111015700,37.572344,126.997693,면적중심,
1111015800,37.569637,126.998308,면적중심,
1111015900,37.575562,126.997537,면적중심,
1111016000,37.573753,127.000168,면적중심,
1111016100,37.570672,126.997953,면적중심,
1111016200,37.57305,127.003088,면적중심,
1111016300,37.570617,127.003534,면적중심,
1111016400,37.571947,127.007685,면적중심,
1111016500,37.577241,127.005633,면적중심,
1111016600,37.578703,126.999694,면적중심,
1111016700,37.574959,127.005962,면적중심,
1111016800,37.581404,127.004879,면적중심,
1111016900,37.587813,127.001755,면적중심,
1111017000,37.589114,126.997488,면적중심,
1111017100,37.5847,126.999041,면적중심,
1111017200,37.582233,126.999882,면적중심,
1111017300,37.588221,126.993147,면적중심,
1111017400,37.575408,127.012449,면적중심,
1111017500,37.575574,127.018946,면적중심,
1111017600,37.568548,126.964468,면적중심,
1111017700,37.567916,126.966861,면적중심,
1111017800,37.570081,126.965218,면적중심,
1111017900,37.571151,126.963986,면적중심,
1111018000,37.571539,126.961458,면적중심,
1111018100,37.57368,126.962627,면적중심,
1111018200,37.619378,126.959275,면적중심,
1111018300,37.613029,126.974501,면적중심,
1111018400,37.594763,126.96559,면적중심,
1111018500,37.600856,126.956482,면적중심,
1111018600,37.60252,126.961838,면적중심,
1111018700,37.57711,126.958581,면적중심,
1114010100,37.568157,126.979009,면적중심,
1114010200,37.567909,126.981186,면적중심,
1114010300,37.567731,126.977247,면적중심,
1114010400,37.565999,126.98054,면적중심,
1114010500,37.565884,126.98593,면적중심,
1114010600,37.56758,126.982861,면적중심,
1114010700,37.568097,126.984247,면적중심,
1114010800,37.567285,126.98464,면적중심,
1114010900,37.56745,126.986985,면적중심,
1114011000,37.567467,126.989515,면적중심,
1114011100,37.564075,126.980065,면적중심,
1114011200,37.55808,126.977622,면적중심,
1114011300,37.562453,126.978205,면적중심,
1114011400,37.562988,126.976363,면적중심,
1114011500,37.563955,126.982118,면적중심,
1114011600,37.5617,126.979591,면적중심,
1114011700,37.560605,126.9757,면적중심,
1114011800,37.5561,126.975311,면적중심,
1114011900,37.5591,126.972772,면적중심,
1114012000,37.556556,126.970987,면적중심,
1114012100,37.55651,126.981515,면적중심,
1114012200,37.558762,126.982934,면적중심,
1114012300,37.560168,126.984077,면적중심,
1114012400,37.56117,126.982518,면적중심,
1114012500,37.561729,126.987797,면적중심,
1114012600,37.564303,126.984663,면적중심,
1114012700,37.562903,126.985254,면적중심,
1114012800,37.559348,126.984598,면적중심,
1114012900,37.558592,126.985788,면적중심,
1114013000,37.560154,126.987418,면적중심,
1114013100,37.56443,126.987805,면적중심,
1114013200,37.562329,126.995839,면적중심,
1114013300,37.562843,126.999642,면적중심,
1114013400,37.564204,126.996146,면적중심,
1114013500,37.564254,126.998208,면적중심,
1114013600,37.561347,127.000563,면적중심,
1114013700,37.561088,126.992467,면적중심,
1114013800,37.558772,126.994722,면적중심,
1114013900,37.558516,126.997022,면적중심,
1114014000,37.560575,126.990829,면적중심,
1114014100,37.56066,126.989403,면적중심,
1114014200,37.555222,126.990117,면적중심,
1114014300,37.56098,127.007587,면적중심,
1114014400,37.554995,127.00059,면적중심,
1114014500,37.565023,127.005324,면적중심,
1114014600,37.563945,127.008428,면적중심,
1114014700,37.563529,127.004243,면적중심,
1114014800,37.567783,127.006884,면적중심,
1114014900,37.566288,127.009624,면적중심,
1114015000,37.566442,126.997754,면적중심,
